Name,DataSourceID,Description,Exposed
Aggregated Tax Details view including Municipality Travel Information in Austria,FINERMU02,"Provides detailed information about amounts which are relevant for tax purposes (such as in payroll). Items shown include taxable benefits, amounts taxable at flat rates, income-related expenses, and tax-exempt meals per diems. 

Aggregates information from the following Data Sources:  Expense Report Information; Expenses and Expense Amounts; Reimbursement Rates. 

This data source forms the basis for the following key report: Expense Reports - Taxable and Tax-Exempt Amounts for Payroll.",No
Allocated Expenses,FINERMU03,"Provides detailed information about the cost assignments of the posted amounts of expense reports. Possible assignments are to cost centers, project tasks, sales orders, and service orders. 

Aggregates information from the following Data Sources: Expenses and Expense Amounts; Reimbursement Rates. 

This data source forms the basis for the following key report: Expense Reports by Cost Object.",No
Additional Destination,FINERMU04,"Provides detailed information about the additional destinations of an expense report for a business trip. 

Aggregates information from the following Data Sources: Information About Expense Reports and Their Additional Destinations. 

This data source forms the basis for the following key report: Expense Reports - Additional Destination.
",No
Expense Report,FINEXPRPB,Expense Report,No
Functional Area Determination,FINFADETU,Default Functional Area,No
Missing Scheme Assignments – Functional Area,FINFAFSTU,Missing Scheme Assignments – Functional Area,No
Missing Scheme Assignments – Functional Area,FINFAFSTV,Missing Scheme Assignments – Functional Area,No
Forecast Document Items,FINFCDU02,Forecast Document Items,No
Financial Plan Master Data,FINFPLANB,"Provides master data for planning. It includes information like plan horizon  (Plan Start period, plan end period), set of books, plan created by, plan created on.",No
Function Master Data,FINFUNCNU,,No
Fund Master Data,FINFUNDMU,"Provides Fund master data, including the Fund ID, description, fund type, fund category, fund size, company assignments and status.",No
Financial Plan Version,FINFVERSB,"Provides data for a version of plan. It includes information like the plan start period, plan end period, set of books, version created by, version created on. 
",No
Fixed Asset,FINFXASSB,Fixed Asset,No
Fixed Assets Values,FINFXAU01,"Provides data for period-based balances and totals for fixed assets aggregated by combinations of line item type and fixed asset movement category. The values displayed are based on accumulated acquisition costs at the beginning of the fiscal year, acquisition costs of the current fiscal year, or net book values for all sets of books and valuation views. 

Aggregates information from the following Data Sources: Fixed assets period-based totals and balances aggregated by line item type and movement category. 

This data source forms the basis for the following key reports: Schedule of Fixed Assets; Depreciation.
",No
Fixed Assets and Individual Materials Values,FINFXAU02,"Provides transactional data for individual materials and their assigned fixed assets. Data for acquisitions, retirements, and individual material transfers is aggregated into period-based balances and totals for each set of books and valuation view. 

Aggregates information from the following Data Sources: Periodically-calculated fixed asset value totals and balances, Periodically-calculated individual material totals and balances. 

This data source forms the basis for the following key report: Fixed Assets - Inventory List.
",No
Fixed Assets Line Items,FINFXAU03,"Provides data for the line items of your fixed assets for each set of books and valuation view including fixed asset-specific line item data and, depending on the valuation view, G/L journal entry information. 

Aggregates information from the following Data Source: Fixed Assets Line Items. 

This data source forms the basis for the following key report: Fixed Assets - Line Items.
",No
Fixed Assets Master Data,FINFXAU04,"Provides all fixed asset master data information such as the following: fixed asset class, time-dependent organizational assignments to cost centers, profit centers and segments, life cycle data such as initial acquisition date or capitalization date, valuation parameters such as depreciation methods or useful life, and information about assigned individual materials. 

Aggregates information from the following Data Sources: Fixed Assets Master Data. 

This data source forms the basis for the following key report: Fixed Assets - Master Data
",No
Fixed Assets Account Balances,FINFXAU05,"Provides data for the balances and totals of your fixed asset accounts in company currency. The account movements are shown using the closing balance and current totals in the selected fiscal periods. 

Aggregates information from the following Data Sources: Fixed assets period-based totals and balances aggregated by line item type, G/L account, posted profit center and posted segment, and G/L-relevant information. 

This data source forms the basis for the following key report: Fixed Assets - Trial Balance.
",No
G/L Account,FINGLACCT,"Provides the master data of the G/L accounts for a specific Chart of Accounts. This conatins detailed data about G/L accounts, such as G/L Account Type, and Indicators such as Profit /Loss Account Indicator, G/L Account Posting Block Indicators, Open Item Management Indicators.
",No
G/L Account Period Totals / Balances,FINGLAU01,"Provides data for the balances and totals of your individual G/L accounts and G/L account types in company currency and line item currency. The account movements are shown using the opening balance, the credit and debit, and the closing balance in the selected fiscal periods. Aggregates information from the following Data Sources: Business Configuration (Chart of Accounts); General Ledger (General Ledger Account Totals and Balances). This data source forms the basis for the following key reports: Trial Balance; Trial Balance - Two Years; Balances on Favorite Accounts; Schedule of Changes; Balance Audit Trail.
",No
G/L Account Items,FINGLAU02,"Provides data for the line items of your G/L accounts. You can also display the line items of an individual G/L account or multiple G/L accounts. From the line items, you can view the relevant journal entries. You can include different details from the relevant document, such as the cost center, clearing date, or document number of the clearing document. Aggregates information from the following Data Sources: General Ledger (Line Items); Journal Entry (Items and Subledger Extensions); Subledgers, Offsetting Information. This data source forms the basis for the following key reports: G/L Accounts - Line Items; G/L Accounts - Open Items; Balance Audit Trail.
",No
Journal Entries,FINGLAU03,"Provides data for the journal entries that were posted to G/L accounts. The journal entries are recorded in chronological order by document number, document type, and posting date. For each journal entry, the individual line items are also displayed with the accounts to which the entry was posted and the amount in company currency and line item currency. Aggregates information from the following Data Sources: Journal Entry (Items and Subledger Extensions); Subledgers; Offsetting Information. This data source forms the basis for the following key reports: Journal; Journal - Print Layout.

",No
Financial Statements,FINGLAU04,"Provides data for the hierarchical display of G/L account balances in company currency based on different reporting structures: balance sheets, profit and loss statements, and cash flow statements. You can choose to analyze data for different fiscal year and accounting period combinations and also compare data for two different fiscal years. Three different types of balance sheet calculations are provided: cumulative, changes in current period and cumulative balance sheet, changes for income statement. Aggregates information from the following Data Sources: Business Configuration (Chart of Accounts, Reporting Structures); General Ledger (General Ledger Account Totals and Balances). This data source forms the basis for the following key reports: Financial Statements; Financial Statements - Two Years; Financial Statements - Print Layout.
",No
ARP Ledger Account Balances,FINGLAU07,"Provides data for the balances and totals of your individual accounts receivables and payables in company currency and line item currency. The account movements are shown using the opening balance, the credit and debit, and the closing balance in the selected fiscal periods. Aggregates information from the following Data Sources: Receivables and Payables (Totals and Balances). This data source forms the basis for the following key reports: Accounts Receivable - Trial Balance, Accounts Payable - Trial Balance.
",No
ARP Ledger Account Line Items,FINGLAU08,"Provides data for the line items of your accounts receivable and accounts payable accounts in company currency, transaction currency, and line item currency. For each line item, the posting date, document type, and document number are shown. Aggregates information from the following Data Sources: Accounts Receivable and Accounts Payable Line Items, Offsetting Information. This data source forms the basis for the following key reports: Accounts Receivable - Line Items; Accounts Payable - Line Items; Accounts Receivable - Open Items; Accounts Payable - Open Items; Accounts Receivable – Balance Audit Trail; Accounts Payable - Balance Audit Trail.
",No
Cash Ledger Account Balances,FINGLAU09,"Provides data for the balances and totals of your individual cash ledger accounts in company currency and line item currency. The account movements are shown using the opening balance, the credit and debit, and the closing balance in the selected fiscal periods. Aggregates information from the following Data Source: Cash Ledger Account (Totals and Balances). This data source forms the basis for the following key reports: Cash - Trial Balance; Cash  - Balance Audit Trail.
",No
Cash Ledger Account Line Items,FINGLAU10,"Provides data for the balances and line items of your individual G/L accounts and G/L account types in company currency and line item currency. For the individual line items for G/L accounts, you can include additional details such as the cost center. The balance audit trail shows the balance at the start of a specific period and the way in which the balance of the account changed by the end of the period. Aggregates information from the following Data Sources: General Ledger Account Line Items; General Ledger Account Totals and Balances; Offsetting Information. This data source forms the basis for the following key report: Balance Audit Trail.
",No
G/L Balance Audit Trail,FINGLAU11,"Provides data for the balances and line items of your individual G/L accounts and G/L account types in company currency and line item currency. For the individual line items for G/L accounts, you can include additional details such as the cost center. 
The balance audit trail shows the balance at the start of a specific period and the way in which the balance of the account changed by the end of the period. Aggregates information from the following Data Sources: General Ledger Account Line Items; General Ledger Account Totals and Balances; Offsetting Information. This data source forms the basis for the following key report: Balance Audit Trail.
",No
ARP Balance Audit Trail,FINGLAU12,"Provides data for the balances and line items of your individual accounts receivable and accounts payable accounts in company currency and line item currency. For the individual line items for accounts receivable and accounts payable, you can include additional details such as the cost center. The balance audit trail shows the balance at the start of a specific period and the way in which the balance of the account changed by the end of the period. Aggregates information from the following Data Sources: Accounts Receivables / Accounts Payables Ledger Account Line Items; Accounts Receivables / Accounts Payables Ledger Account Totals and Balances; Offsetting Information. This data source forms the basis for the following key reports: Accounts Receivable Balance Audit Trail; Accounts Payable Balance Audit Trail.
",No
Cash Balance Audit Trail,FINGLAU13,"Provides data for the balances and line items of your individual cash ledger accounts  in company currency and line item currency. For the individual line items for  cash ledger accounts, you can include additional details such as the profit center. The balance audit trail shows the balance at the start of a specific period and the way in which the balance of the account changed by the end of the period. Aggregates information from the following Data Sources: Cash Ledger Account Line Items; Cash Ledger Account Totals and Balances; Offsetting Information. This data source forms the basis for the following key report: Cash Ledger Account Balance Audit Trail.
",No
Recurring Journal Entries,FINGLAU15,"Provides data for recurring journal entry vouchers existing in the system. Data about total recurring amount of recurring journal entry voucher as well as individual recurring amounts of related journal entry vouchers are provided along with further details about the items of individual journal entry vouchers , such as , G/L Account, posting status, partner information, etc.",No
G/L Account Master Data,FINGLAU17,"Provides data for general ledger master data attributes and also for hierarchical display of general ledger account assignments based on different reporting structures: balance sheet, income statements, cash flow statements. Aggregates information from the following Data Sources: Business Configuration (Chart of Accounts); General Ledger (General Ledger Account Totals and Balances). This data source forms the basis for the following key report: Financial Reporting Structure for G/L Accounts.

",No
Financial Statements - Plan/Actual/Forecast,FINGLAU25,"Provides details about the balance sheet, income statement and cash flow statement for a fiscal year. Aggregates information from data sources for actual, plan and forecast values.",No
Set of Books And Period Closing Status,FINGLAU28,Set of Books And Period Closing Status,No
Accounting And Trade Receivables Payables Register,FINGLAU29,,No
Financial Statements for Public Sector,FINGLAU30,"Provides details about the balance sheet, income statement and cash flow statement for a fiscal year. Aggregates information from data sources for actual, budget and encumbrance values.",No
Grant Master Data,FINGRANTMU,"Provide Grant Master Data Including Fund ID, Fund Contribution Percentage, Sponsor ID, Validate Start & End Date, Company Assignment Its Status, Start & End Date.",No
House Bank Account,FINHBACTB,Provides the details of House Bank Acccounts.,No
Material Ledger Cumulative Year Totals,FININVCTU01,Material Ledger Cumulative Year Totals,No
Material Ledger Account Line Items,FININVU01,"Provides data that is used in reports for viewing detailed information on the line items posted to the material ledger account. Aggregates information from the following Data Sources: Material Ledger Account (Line Item, Offset Accounts); Material Valuation Data. This data source forms the basis for the following key report: Material Inventories - Line Items Report. 
",No
Production Ledger Account Line Items,FININVU02,"Provides line item data used in reports for viewing detailed information on the WIP postings in the production ledger account. Aggregates information from the following Data Sources: Production Ledger Account (Line Item, Offset Accounts); Financial Accounting View of Production Document (Item). This data source forms the basis for the following key reports: Production Lot - Line Items; Production Variances; Production Information for Income Statement by Nature of Expense.                                                         
",No
Purchase Ledger Account Line Items,FININVU03,"Provides line item information on postings to the goods receipt/invoice receipt clearing accounts (Unbilled Payables and Purchase in Transit). Aggregates information from the following Data Sources: Purchase Ledger Account (Clearing, Line Item, Offset Accounts); Financial Accounting View of Purchasing Document (Item). This data source forms the basis for the following key report: GR/IR Inventories - Balance Summary.
",No
Material Ledger Account Aggregated,FININVU04,"Provides aggregated information on the quantities and values of material inventories. Aggregates information from the following Data Sources: Material Ledger Account (Line Item, Offset Accounts); Material Valuation Data. This data source forms the basis for the following key reports: Material Inventories - Balance Summary; Material Inventories -  Balance History; Material Inventories -  Rolling Inventory Comparison.
",No
Production Ledger Account Aggregated Items,FININVU05,"Provides aggregated information on the quantities and values of WIP inventories. Aggregates information from the following Data Sources: Production Ledger Account (Line Item, Offset Accounts); Financial Accounting View of Production Document (Item). This data source forms the basis for the following key reports: WIP Inventories - Balance Summary; WIP Inventories -  Rolling Comparison.
",No
GRIR Clearing Run Log,FININVU06,"Provides log information on successfully posted items of goods receipt/invoice receipt clearing runs (update runs only). Aggregates information from the following Data Sources: GR/IR Clearing Run (Log, Successfully Calculated Items); Purchase Ledger Account (Clearing). This data source forms the basis for the following key report: Purchase Price Variances.
",No
Material Valuation Data,FININVU07,"Provides information about material costs in valuated stock for all cost types (valuation cost, standard cost , etc). Aggregates information from the following Data Sources: Material Valuation Data ( Root, Valuation Price ). This data source forms the basis for the following key report: Material Unit Costs Report.
",No
Material Inventories - Reconciliation,FININVU08,"Provides data used in reports for comparing quantities posted to material inventories in FIN and SCM (reconciliation). Aggregates information from the following Data Sources: Material Ledger Account (Line Item, Offset Accounts); Material Ledger Account Aggregated; SCM Inventory Snapshots; Material Valuation Data (Valuation Price). This data source forms the basis for the following key report: Material Inventories - Reconciliation.                                           
",No
Inventory Cost Analysis Based On FIFO,FININVU09,Provides information about variances between material inventory values based on current inventory cost and FIFO cost. This data source forms the basis for the following key report: Inventory Cost Analysis Based On FIFO Report.,No
Material Inventories - Unposted Source Documents,FININVU10,Provides a navigation target for the Material Inventories - Reconciliation report to check whether unposted Source Documents are listed in the General Ledger workcenter that effect the quantity shown in the report.,No
Valid Material Cost Components,FININVU12,,No
Material Ledger Account Aggregated,FININVU14,"Provides aggregated information on the quantities and values of material inventories. Aggregates information from the following Data Sources: Material Ledger Account (Line Item, Offset Accounts); Material Valuation Data. This data source forms the basis for the following key reports: Material Inventories - Balance Summary; Material Inventories -  Balance History; Material Inventories -  Rolling Inventory Comparison.",No
Valid Material Actual Cost Components,FININVU15,Valid Material Actual Cost Components,No
Valid Production Lot Actual Cost,FININVU16,Valid Production Lot Actual Cost,No
Valid Resource Actual Cost Components,FININVU17,Valid Resource Actual Cost Components,No
Sales Documents Actual Costing - Cost Breakdown(Item Type),FININVU18,Sales Documents Actual Costing - Cost Breakdown(Item Type),No
Cost Variance,FININVU19,Provides Cost Variance data for production lot .,No
Purchase Ledger Account Line Items ( Landed Cost ),FININVU24,"Provides line item information on postings to the goods receipt/invoice receipt related to landed cost clearing accounts (Unbilled Payables and Purchase in Transit). Aggregates information from the following Data Sources: Purchase Ledger Account (Landed Cost Clearing, Line Item, Offset Accounts); Financial Accounting View of Purchasing Document (Item).",No
Financial Lease Contract,FINLCMU,Financial Lease Contract for IFRS16,No
Lease Contract Payment Schedule,FINLCPAYSCHEDMU,Lease Contract Payment Schedule,No
Lease Contract Valuation Cash Flows,FINLCVALUU,Lease Contract Valuation Cash Flows,No
Financial Subledger Cumulative Year Totals - Payment Register,FINPAYCTU01,,No
SEPA Mandates,FINPAYU01,"Provides a list of SEPA mandates from the master data. Aggregates information from the following data source: SEPA Mandates Master Data
",No
Liquidity Forecast,FINPAYU02,"Provides the details of cash inflows and outflows expected over the medium term in transactional and forecast currency. As a prerequisite, you need to have created a liquidity forecast by scheduling a liquidity forecast run. Aggregates information from the following Data Sources: Due Item Processing (payables, receivables and tax items); Payment Processing (incoming and outgoing payments); Cash Management (forecast planning items). This data source forms the basis for the following key reports: Liquidity Forecast by Payment Method; Liquidity Forecast by Liquidity Level; Key Performance Indicator for Liquidity.",No
Cash Position,FINPAYU03,"Provides the petty cash balances and the balances and postings for each bank account. The amounts are based on the bank statements plus unconfirmed payments. Aggregates information from the following Data Sources: Due Item Processing (payables, receivables and tax items); Payment Processing (incoming and outgoing payments); Cash Management (forecast planning items). This data source forms the basis for the following key reports: Cash Position by Payment Method; Cash Position by Transaction Source; Cash Position by Transaction Details.",No
Checkbook Register,FINPAYU05,Shows how each check number of a check lot has been used.,No
Missing Scheme Assignments – Price Components,FINPCFSTU,"Missing Scheme Assignments – Price Components
",No
Primary Cost Object,FINPCOMDB,"Provides all the primary cost objects. Those values include cost centers, project task, ..., and in addition all free cost object.",No
Performance Obligation Master Data,FINPOBMU,Performance Obligation Master Data,No
Production Ledger Cumulative Year Totals,FINPRDCTU01,Production Ledger Cumulative Year Totals,No
Profitability : Sales Ledger Line Items - CPEL,FINPRFB27,"Profitability : Sales Ledger Line Items - CPEL
Provides accounting documents created with Customer project Expense List items only. The purpose is to derive the original expense document for which the CPEL item is created.",No
Profitability Key Figures for Mobile Manager Cockpit,FINPRFMMCU40,,No
Profitability : Order Profit,FINPRFU01,"Displays predictive profit data based on sales orders, service orders, and sales returns. By unifying the data from CRM orders, it enables contribution margin reports that provide a preliminary indication of what future profit may be. Displays profit data for analysis by multiple market segments, such as all customers in a particular region and customer group. Aggregates information from the following Data Sources: Profitability: Sales Orders; Profitability: Service Orders; Profitability: Customer Returns.

",No
Profitability : Invoice Profit,FINPRFU10,"Displays predictive profit data based on customer invoices by multiple market segments, such as all customers in a particular region and customer group. Invoice profit information supports analyses such as: (1) Profit drilldowns for determining the contribution margins of customer groups, territories, and sales organizations; (2) Rest-of-year forecasting; (3) Analysis of seasonal effects on profit and the impact of pricing and rebates. Aggregates information from the following Data Source: Profitability: Customer Invoices.
",No
Profitability : Earned Profit,FINPRFU20,"Displays earned profit data by market segment, such as all customers in a particular region and customer group. You can choose to analyze profit by detailed attributes such as sales documents, GL accounts, and journal entry IDs. Three methods are supported to calculate the profit, based on financial accounting data. Aggregates information from the following Data Sources: Profitability: General Ledger; Profitability: Overhead Cost Ledger; Profitability: Other Direct Cost Ledger; Profitability: Material Ledger; Profitability: Sales Ledger.
",No
Sales Ledger Line Items,FINPRFU24,"Shows the revenues and the cost of goods manufactured posted to the Sales Ledger Account business object. This also contains the accrual items from sales transactions, together with their offsetting postings. This serves as the data basis for earned profit. Aggregates information from the following Data Source: Profitability: Sales Ledger Line Items.
",No
Profitability Management,FINPRFU30,"Provides profit data for analysis by multiple market segments such as all customers in a particular region and customer group. You can choose to analyze profit by detailed attributes such as sales documents, GL accounts, and journal entry IDs. Three methods are supported to calculate the profit, which are based on financial accounting data (for earned profit), or sales documents (for order or invoice profit). Aggregates information from the following Data Sources: Profitability: Order Profit; Profitability: Invoice Profit; Profitability: Earned Profit. This data source forms the basis for the following key reports: Profit Detail by Contribution Margin Scheme; Profit Overview by Key Figure; Key Performance Indicators, and Dashboards based on Profitability.
",No
Enhanced Contribution Margin,FINPRFU50,Enhanced Contribution Margin,No
Financial View Of Revenue Accounting Contract,FINRACMU,Financial View Of Revenue Accounting Contract,No
Recurring Journal Entry Voucher,FINRECJVB,"Provides data for recurring journal entry vouchers created in the system. Data is shown about the type of recurring journal entry voucher, the recurrance pattern, occurance , status and so on.",No
Tax Ledger Cumulative Year Totals,FINTAXCTU01,Tax Ledger Cumulative Year Totals,No
Tax Ledger Account Balances,FINTAXU03,"Provides balances from tax ledger accounts.
",No
Tax Ledger Account Ledger Account Line Items,FINTAXU04,"Provides line items from tax ledger accounts.
",No
Tax Balance Audit Trail,FINTAXU05,"Shows the opening and closing balance and the line items for each tax account.
",No
WH Tax Details,FINTAXU08,"Provides withholding tax line items from the tax register.
",No
Data Source for all VAT / Sales Tax Items with Journal Entry Details,FINTAXU10,"Provides data for VAT and sales tax items in the tax register including additional journal entry details. You can display the tax attributes for each source document, for example tax code or tax rate, and amounts such as base, deductible and non deductible tax amount. The data source also includes the G/L accounts to which the costs or revenues and taxes are posted as well as further journal entry details. Company, set of books, and kind of date (tax due date or posting date) are mandatory variables for this data source. The tax countries/regions Canada, India, and Mexico are not supported. For more information see the documentation of the report: All VAT / Sales Tax Items with Journal Entry Details",No
Product Tax Declaration,FINTAXU11,The Product Tax Declarations data source provides details on the Tax returns created in the system including the current status of the return. The details provided by this data source is similar to the data available from Work Center Tax Management and Work Center View VAT Returns. The data source does not provide information on business transactions part of individual tax returns. For this information please use the report All VAT / Sales Tax in the Tax Management Work Center.,No
Trade Receivables Payables Account,FINTRACTB,Provides the details of all trade receivables payables accounts.,No
Financial Subledger Cumulative Year Totals - Trade Recievables/Payables Register,FINTRPCTU01,,No
Code List Mapping,FNDCLMB,Code List Mapping,No
Sales Kits root view,FNDKITB01,Sales Kits root view,No
Sales Kits list view,FNDKITB02,Sales Kits list view,No
Sales Kits Item list view,FNDKITC01,Sales Kits Item list view,No
Object ID Mapping,FNDOIMB,Object Identifier Mapping,No
Supplier Address Details,FND_SUP_ADDRESS,"Provides an overview of address details of a supplier such as default address and different address types such as ship-from, invoicer, payee, and remittance advice to.
",No
Supplier Payment Data,FND_SUP_FINDATA,Provides the payment data of a supplier.,No
Customer Invoice Item with Tax Details,GLOCIB01,"Contains all customer invoice items which are not released and in approval status. It provides you with information on the products, quantities, gross amounts, net amounts, tax amounts.",No
Customer Invoice Item with Tax Details,GLOCIU01,"Contains all customer invoice items which are not released and in approval status. It provides you with information on the products, quantities, gross amounts, net amounts, tax amounts.",No
Cost Auditing,GLOCOSTAJ,Contains all relevent data for the Cost Auditing report which is specific to the country/region India,No
Cost Auditing,GLOCOSTAU,Contains all relevent data for the Cost Auditing report which is specific to the country/region India,No
Transportation Approval,GLOCRMTRANAPPRB01,,No
Tax Details with Municipality Travel Information for Austria,GLOERMB04,Shows the tax-related data for the expense reports including Municipality Travel Information for Austria,No
Trip Overview – Austria,GLOERMB05,Trip Overview – Austria,No
Accounts Receivable - Pledging of Open Items,GLOFINB01,"Shows all open items that are pledged as collateral, which can be particular open items or if the customer account is pledged, all open items of this customer.",No
Cash Report - Israel,GLOFINPAYILB01,,No
Cash Position - Israel,GLOFINPAYILU03,,No
Accounts Receivable - Pledging of Open Items,GLOFINU01,"Shows all open items that are pledged as collateral, which can be particular open items or if the customer account is pledged, all open items of this customer.",No
Asset Register Italy,GLOFXAU01,Asset Register Italy,No
Asset Register Italy,GLOFXAV01,Asset Register Italy,No
IETU Tax-Base-Amount Determination – Mexico,GLOGLAU01,"Provides on the basis of the total income and expenses of the company, the tax base amount for calculation of the IETU tax payable in a fiscal year.",No
Invoice Payment Due Date (Law 15/2010) – Spain,GLOGLAU02,"Shows the totals of paid and overdue open supplier invoices made before and after Spanish legal due dates, as required according to Law 15/2010.",No
Trial Balance - South Korea,GLOGLAU06,"Provides data for the balances and totals of your individual G/L accounts and G/L account types in company currency and line item currency. The account movements are shown using the opening balance, the credit and debit, and the closing balance in the selected fiscal periods. Aggregates information from the following Data Sources: Business Configuration (Chart of Accounts); General Ledger (General Ledger Account Totals and Balances).",No
Invoice Payment Due Date (Law 15/2010) – Spain,GLOGLAV02,"Shows the totals of paid and overdue open supplier invoices made before and after Spanish legal due dates, as required according to Law 15/2010.",No
GLOHCMEPAAUB01,GLOHCMEPAAUB01,,No
GLOISJPB01,GLOISJPB01,,No
Japan Summary Invoice Reference Details,GLOISJPB03,"Provides header information, balance information details, details of customer and supplier invoices and invoice item details included in the Monthly invoices.",No
Clearing Status Report for Japan,GLOISJPU01,,No
GLO Material Master Data,GLOMATERIAL,GLO Material Master Data for the Cost Auditing report for country India,No
Employee Payroll Data Source,GLOPAEMPNLHIR001,Provides information on Employee Payroll and Time data,No
Employee Payroll Data Source,GLOPAEMPNLHIR002,Provides information on Employee Payroll and Time data,No
Opportunity Header,CRMOPPHB,"Contains all opportunity header data. It allows you to analyze opportunities by header data such as sales cycle, sales phase or expected value.",No
Taxes - Product Tax Details,GLOTAXB02,Product Tax Details - Taxes MDAV,No
Taxes - Excise Annexure 10,GLOTAXB08,Taxes - Excise Annexure 10,No
Taxes - Product Tax Details,GLOTAXB09,Product Tax Details - Taxes Data Source,No
Taxes - Supplier Invoice Details,GLOTAXB11,Taxes - Supplier Invoice Details,No
Stock Transfer Annexure 10,GLOTAXB12,,No
Sales Register - India,GLOTAXB13,Sales Register - India,No
Stock Transfer - Filter out Tax return,GLOTAXB14,Stock Transfer - Filter out Tax return,No
ER5 Report,GLOTAXB15,,No
All Incoming/Outgoing VAT Invoices with Original Order Items,GLOTAXTIB02,All Incoming/Outgoing VAT Invoices with Original Order Items - Data Source,No
RG1: Excise Register - India,GLOTAXU03,"Shows an overview of the RG1 Indian excise register for the selected period
",No
GLOTAXU05,GLOTAXU05,,No
Trade Receivables Payables Register - Details,GLOTRPB01,Trade Receivables Payables Register - Details,No
Gregorian Date,GREGDATEB,,No
Employee Bank Details,HCMBANKB01,"Provides information on employee bank details such as bank name, account number and account type.",No
Compensation Details,HCMCMPB,"Provides information on employee compensation details such as Compensation Component ID, Compensation Component Amount, Compensation Structure ID, Grade ID and other related details.",No
Taxes - Product Tax Details,GLOTAXB01,Product Tax Details - Taxes Data Source,No
Employee Master Data,HCMEMPB,Provides information on employee master data such as employee's workplace address and user details with their validities,No
Comparison of Employee Data in ByD and EC,HCMMDRC01,Provides comparison of employee’s data in ByDesign and Employee Central systems.,No
Headcount,HCMPAB01,"Provides information on employee headcount, FTE, age and length of service.",No
Employee Disability - US,HCMPAB05US,Provides information on employee’s physical or mental impairment.,No
Military Service & Ethnicity - US,HCMPAB06US,"Provides information on country-specific requirements that govern employers' compliance with legislation regulating employment.

",No
Employee Turnover,HCMPAU01,"Provides the number of employees entering, leaving, or transferring within the company.",No
Internal Employee Changes,HCMPAV01,"Provides information on change history of employee master data such as employee's Biographical Data, Private Contact Data, Payment Information and Organizational Assignment.",No
Forecasted Utilization,HCMRPMU01,"Provides visualization into the future on Forecasted Utilization of resources relevant for Resource Management, within a set period of time. Compares the commitments derived from the Scheduled Work and Absences of relevant resources assigned within a Company or a given Reporting Line Unit, with the Gross Capacity (planned working time) of these resources.",No
Forecasted Demand,HCMRPMU02,"Provides visualization into the future on the demand for resources relevant for Resource Management within a company or reporting line unit from given projects, within a set period of time. Shows the accumulated (absolute) commitments of these relevant resources to projects.",No
Actual Utilization,HCMRPMU03,"Provides an overview of past actual utilization of service-related resources, within a set period of time
",No
Employee Recorded Times,HCMTLMB07,Provides information on recorded employee times,No
Employee Deviating Holiday Calendar,HCMTLMB11,"Employees may be assigned holiday calendars that are different from what is assigned to the Business Residence of the employee – these are termed as ""Deviating Holiday Calendars"". This data source lists out all the employees who have deviating holiday calendar assignments, and at what period of time.",No
Employee Time Account Assignment,HCMTLMB12,Provides an overview of employee time profile with time account assignment rules.,No
Employee Time Profile,HCMTLMB13,"Provides an overview of employee time profile with basic data and work schedule information, such as time recording profile, time recording method, hire date, termination date, work schedule category and assigned time models.",No
Employee Time Accounts,HCMTLMU02,Provides information on the balances of employee time accounts.,No
Employee Recorded Times for internal employees and service agent,HCMTLMU03,Employee Recorded Times for internal employees and service agent with and without org assignments,No
Employee Time Account Postings with Corresponding calendar quantity,HCMTLMU06,Employee Time Account Postings with Corresponding calendar quantity,No
My Bank Master Data,HOUSEBANK,"Provides my bank master data, including the bank name and ID, country and other address data, the payment medium format, and system administrative information. 
",No
Data Lifecycle Analysis for Business Documents,ILMBONU01,Provides lifecycle data for Business Documents such as Retention and Residence status as well as Retention and Residence dates. Deletion status of documents are also shown such as whether documents are blocked for deletion or already deleted.,No
Data Lifecycle Predecessor Analysis for Business Documents,ILMBONU02,Data Lifecycle Predecessor Analysis for Business Documents,No
Individual Material Master Data,INDV_MATR,"Provides individual material master data, including identification, description, quantity, product category, and system administration data.",No
Individual Material Master Data,INDV_MATR_FA,"Provides individual material master data, including identification, description, quantity, product category, and system administration data for Fixed Assets references.",No
Individual Material Master Data,INDV_MAT_INSTPT,"ACE DATA specific Data Source - Provides individual material master data, including identification, description,Account , Location and system administration data.
",No
Material Master Data,MATERIAL,"Provides material master data, including identification, description, quantity, product category, and system administration data.
",No
Material Availability Confirmation,MAT_AVAIL_CONF,Provides material Availability Confirmation data.,No
Material General Data,MAT_GENERAL,Provides material general data and UoM characteristics,No
Material General Data and UoM characteristics,MAT_GENERAL_MULTI,"Provides material general data and UoM characteristics with multiple lines
",No
Material Logistics Data,MAT_LOGISTICS,Provide material logistics information,No
Material Planning,MAT_PLANNING,Provides Material Planning Data.,No
Material Purchasing Data,MAT_PURCHASING,Provides material purchasing data.,No
Material Quantity Conversions,MAT_QUAN_CONVERSION,Provides material quantity conversions data.,No
Material Sales General,MAT_SALES_GEN,Provides material sales general data,No
Material Valuation Data,MAT_VALUATION,Provide material valuation information,No
Prediction Result,MLSINFB,,No
Expense Report Header,ODTEXPREPHEADB,Contains expense report header data tailored for data extraction into an analytics system,No
Expense Report Mileage,ODTEXPREPMILEAGEB01,Contains expense report mileage data tailored for data extraction into an analytics system,No
Expense Report Action History,ODTEXPU03,Shows details about statuses of expense reports and actions that initiated the status changes.,No
